CAISO,ERCOT,FRCC,ISONE,MISO,NYISO,NorthernGridConnected,NorthernGridUnconnected,PJM,SCRTP,SERTP,SPP,WestConnect,WestConnectNonEnrolled,GDPSum,Event
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8352190410958904,0.0,0.0,0.0,2.3351123287671234,0.0,0.0,3.170331369863014,2
0.0,0.0,0.0,2.9128963835616437,0.0,0.0,0.0,0.0,0.0,0.38451257534246575,0.0,0.0,0.0,0.0,3.2974089589041093,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351123287671234,0.0,1.1011874520547946,3.4362997808219182,2
0.0,0.0,0.0,0.0,0.0,0.0,3.18075002739726,0.0,0.0,0.38451257534246575,0.0,0.0,0.0,0.0,3.565262602739726,2
0.0,0.0,3.196764493150685,0.0,0.0,0.0,0.0,0.0,0.0,0.38451257534246575,0.0,0.0,0.0,0.0,3.5812770684931508,2
0.0,0.0,0.0,2.9128963835616437,0.0,0.0,0.0,0.8352190410958904,0.0,0.0,0.0,0.0,0.0,0.0,3.7481154246575343,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351123287671234,1.63315498630137,0.0,3.968267315068493,2
0.0,0.0,0.0,2.9128963835616437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011874520547946,4.0140838356164386,2
0.0,0.0,0.0,0.0,0.0,0.0,3.18075002739726,0.8352190410958904,0.0,0.0,0.0,0.0,0.0,0.0,4.015969068493151,2
0.0,0.0,3.196764493150685,0.0,0.0,0.0,0.0,0.8352190410958904,0.0,0.0,0.0,0.0,0.0,0.0,4.031983534246575,2
0.0,0.0,0.0,0.0,0.0,0.0,3.18075002739726,0.0,0.0,0.0,0.0,0.0,0.0,1.1011874520547946,4.281937479452055,2
0.0,0.0,3.196764493150685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011874520547946,4.2979519452054795,2
0.0,0.0,0.0,2.9128963835616437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63315498630137,0.0,4.546051369863013,2
0.0,0.0,0.0,0.0,0.0,0.0,3.18075002739726,0.0,0.0,0.0,0.0,0.0,1.63315498630137,0.0,4.81390501369863,2
0.0,0.0,3.196764493150685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63315498630137,0.0,4.829919479452055,2
0.0,4.735475205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38451257534246575,0.0,0.0,0.0,0.0,5.119987780821918,2
0.0,0.0,0.0,2.9128963835616437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351123287671234,0.0,0.0,5.248008712328767,2
0.0,0.0,0.0,0.0,0.0,0.0,3.18075002739726,0.0,0.0,0.0,0.0,2.3351123287671234,0.0,0.0,5.515862356164384,2
0.0,0.0,3.196764493150685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351123287671234,0.0,0.0,5.531876821917809,2
0.0,4.735475205479452,0.0,0.0,0.0,0.0,0.0,0.8352190410958904,0.0,0.0,0.0,0.0,0.0,0.0,5.570694246575343,2
0.0,0.0,0.0,0.0,0.0,5.261589452054794,0.0,0.0,0.0,0.38451257534246575,0.0,0.0,0.0,0.0,5.64610202739726,2
0.0,4.735475205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011874520547946,5.836662657534247,2
0.0,0.0,0.0,2.9128963835616437,0.0,0.0,3.18075002739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.093646410958904,2
0.0,0.0,0.0,0.0,0.0,5.261589452054794,0.0,0.8352190410958904,0.0,0.0,0.0,0.0,0.0,0.0,6.096808493150685,2
0.0,0.0,3.196764493150685,2.9128963835616437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.109660876712329,2
