STABBR,EMP,AP,EST,POP20,REGION_ID,REGIONS,2022REALGDP,STPOP,ZCTAGDP
MA,89,5204,27,2072,22,ISONE,604357.7,7029917,178.12858308284436
MA,1030,41863,137,10304,22,ISONE,604357.7,7029917,885.8286293849557
MA,11205,636860,626,16731,22,ISONE,604357.7,7029917,1438.3539206366163
MA,534,25957,100,3158,22,ISONE,604357.7,7029917,271.4913442932541
MA,691,36392,141,9208,22,ISONE,604357.7,7029917,791.6061742407484
MA,999,64883,123,4849,22,ISONE,604357.7,7029917,416.8655884984132
MA,203,7019,48,3439,22,ISONE,604357.7,7029917,295.64874383296416
MA,2915,162231,281,13315,22,ISONE,604357.7,7029917,1144.6824728513864
MA,3421,239290,250,15428,22,ISONE,604357.7,7029917,1326.3358010628003
MA,324,15732,44,2224,22,ISONE,604357.7,7029917,191.1959308765665
MA,722,38680,126,8962,22,ISONE,604357.7,7029917,770.4577034693297
MA,743,46589,72,3176,22,ISONE,604357.7,7029917,273.0387933740896
MA,1295,66254,106,7254,22,ISONE,604357.7,7029917,623.6219795767147
MA,2902,148798,280,16394,22,ISONE,604357.7,7029917,1409.38223506764
MA,61,2445,25,2603,22,ISONE,604357.7,7029917,223.7783309674922
MA,138,7064,43,3464,22,ISONE,604357.7,7029917,297.797978667458
MA,1839,106986,144,8377,22,ISONE,604357.7,7029917,720.1656083421752
MA,1160,44623,118,6621,22,ISONE,604357.7,7029917,569.2033535673323
MA,131,5508,16,73,22,ISONE,604357.7,7029917,6.275765716721834
MA,3688,171799,308,13799,22,ISONE,604357.7,7029917,1186.2916592471859
MA,145,7784,35,3174,22,ISONE,604357.7,7029917,272.86685458733007
MA,31,2199,19,996,22,ISONE,604357.7,7029917,85.62551580623213
MA,7811,487547,517,15741,22,ISONE,604357.7,7029917,1353.2442211906625
MA,785,43632,84,6233,22,ISONE,604357.7,7029917,535.8472289359888
MA,814,38229,83,4735,22,ISONE,604357.7,7029917,407.06507765312165
MA,2089,120215,173,7514,22,ISONE,604357.7,7029917,645.97402185545
MA,870,49206,71,2141,22,ISONE,604357.7,7029917,184.06047122604718
MA,4387,331727,226,11032,22,ISONE,604357.7,7029917,948.4143477654145
MA,973,24308,69,3495,22,ISONE,604357.7,7029917,300.4630298622302
MA,437,27757,37,2366,22,ISONE,604357.7,7029917,203.40358473649118
MA,1066,51443,126,9049,22,ISONE,604357.7,7029917,777.937040693368
MA,13252,719251,824,38316,22,ISONE,604357.7,7029917,3294.003276738544
MA,4515,245605,307,17740,22,ISONE,604357.7,7029917,1525.0970385567853
MA,368,18989,72,4896,22,ISONE,604357.7,7029917,420.9061499872616
MA,314,14240,17,64,22,ISONE,604357.7,7029917,5.502041176304072
MA,2520,140491,215,11992,22,ISONE,604357.7,7029917,1030.9449654099756
MA,2125,132585,195,7985,22,ISONE,604357.7,7029917,686.4656061373129
MA,3190,131298,236,6691,22,ISONE,604357.7,7029917,575.2212111039148
MA,641,31825,182,7900,22,ISONE,604357.7,7029917,679.1582077000339
MA,3524,204560,291,14193,22,ISONE,604357.7,7029917,1220.163600238808
MA,6716,331824,362,17776,22,ISONE,604357.7,7029917,1528.1919367184562
MA,2424,122842,173,11921,22,ISONE,604357.7,7029917,1024.8411384800133
MA,29100,2329912,934,21567,22,ISONE,604357.7,7029917,1854.1019070210928
MA,4298,185884,248,7652,22,ISONE,604357.7,7029917,657.8377981418557
MA,691,31045,80,4899,22,ISONE,604357.7,7029917,421.1640581674008
MA,2873,138036,249,10106,22,ISONE,604357.7,7029917,868.8066894957649
MA,2438,124940,205,9279,22,ISONE,604357.7,7029917,797.7100011707107
MA,2386,104068,304,25382,22,ISONE,604357.7,7029917,2182.0751427648433
MA,6309,252590,402,22417,22,ISONE,604357.7,7029917,1927.175891393881
MA,8663,424697,744,41301,22,ISONE,604357.7,7029917,3550.6219159771017
MA,26411,1959913,654,29218,22,ISONE,604357.7,7029917,2511.853735769568
MA,8179,457918,434,21651,22,ISONE,604357.7,7029917,1861.3233360649917
MA,3467,165427,148,9378,22,ISONE,604357.7,7029917,806.2209711153062
MA,12901,935928,532,4996,22,ISONE,604357.7,7029917,429.50308932523666
MA,9440,416531,494,23870,22,ISONE,604357.7,7029917,2052.0894199746594
MA,8274,374567,377,28717,22,ISONE,604357.7,7029917,2468.7830696863134
MA,268,11401,32,2277,22,ISONE,604357.7,7029917,195.75230872569333
MA,865,30440,80,5051,22,ISONE,604357.7,7029917,434.23140596112296
MA,22974,2644212,1180,33005,22,ISONE,604357.7,7029917,2837.4198284986865
